S. No.,Proposal No.,Clearance Details,Project Name,Location,Project Proponent,Other Details,Issuing Authority,Proposal Status,Project_Description
231,SIA/MH/MIN/560038/2026,Clearance Type: Application for EC for Mining of Minor Minerals of Mine Lease (0-5 HA) - Form-2 S/W No.: SW/267357/2025,"Environmental Clearance for the Basalt Stone Quarry of Shri. Samrudhaditya Devidas Choudhary located at gut no. 388 part, Village Erandgaon, Taluka Malegaon, District Nashik",MAHARASHTRA,samruddhaditya devidas chaudhary,Category: B2 Sector: Non-Coal Mining Date of Submission: 04/02/2026,SEIAA,Under Verification,"Environmental Clearance for the Basalt Stone Quarry of Shri. Samrudhaditya Devidas Choudhary located at gut no. 388 part, Village Erandgaon, Taluka Malegaon, District Nashik"
232,SIA/MH/MIN/565216/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/272043/2026,"Transfer of EC of Tekoda Sand Ghat, Wardha river , Vill. Tekoda, Tq. Ashti Dist. Wardha, Nearest Gut No. 1,228,225,224,223,222,221, Area-1.02 Ha, Qty-1797 Brass in the name of M/s A. B. Carriers ,Prop. Mr. Abhishekh Bhasin",MAHARASHTRA,ABHISHEK BHASIN,Category: B2 Sector: Non-Coal Mining Date of Submission: 12/01/2026,SEIAA,EC Granted,"Transfer of EC of Tekoda Sand Ghat, Wardha river , Vill. Tekoda, Tq. Ashti Dist. Wardha, Nearest Gut No. 1,228,225,224,223,222,221, Area-1.02 Ha, Qty-1797 Brass in the name of M/s A. B. Carriers ,Prop. Mr. Abhishekh Bhasin"
233,SIA/MH/MIN/563969/2026,Clearance Type: Application for EC for Mining of Minor Minerals of Mine Lease (0-5 HA) - Form-2 S/W No.: SW/270982/2026,"Environmental Clearance for the Shirdhhon- Chincholibhose sand Spot over Bhima river located at Gut no. 310,309,308,307 & 273 Village- Shirdhon & 93, 94, 95, 96, 97, 101, 104, 105, 106, 107 & 108 Village Chincholi Bhose, Taluka- Pandharpur, District: Solapur",MAHARASHTRA,neelima yashwant jadhav,Category: B2 Sector: Non-Coal Mining Date of Submission: 02/01/2026,SEIAA,EC Granted,"Environmental Clearance for the Shirdhhon- Chincholibhose sand Spot over Bhima river located at Gut no. 310,309,308,307 & 273 Village- Shirdhon & 93, 94, 95, 96, 97, 101, 104, 105, 106, 107 & 108 Village Chincholi Bhose, Taluka- Pandharpur, District: Solapur"
234,SIA/MH/MIN/565122/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/271942/2026",Shri. Santosh Dnyandev Jadhav,MAHARASHTRA,santosh dnyandeo jadhav,Category: B2 Sector: Non-Coal Mining Date of Submission: 13/01/2026,SEIAA,Under Verification,Fresh EC
235,SIA/MH/MIN/564688/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/271622/2026,"Application of Transfer of Environmental Clearance Chandur Dhore Sand Ghat Proposal of Chandur Dhore Sand Ghat Tq. Tiosa Dist. Amravati, Nearest Gut no 2 and 4, Arera-2.10 Ha from District Mining Officer, Amaravati to Mr. Akshay Prakash Patmase",MAHARASHTRA,akshay patmase,Category: B2 Sector: Non-Coal Mining Date of Submission: 08/01/2026,SEIAA,EC Granted,Transfer of Environmental Clearance Chandur Dhore Sand Ghat
236,IA/MH/IND2/563904/2026,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1 S/W No.: SW/257207/2025","Environmental Clearance for Expansion of the existing Sugar factory from 12,000 TCD to 17,000 TCD, Expansion of Molasses-based Distillery unit from 150 KLPD to 400 KLPD (based on syrup, B-heavy, or C-molasses), along with expansion of the Cogeneration Plant from 38 MW to 62.5 MW at Gat No. 392, Baradgaon Sudrik Village, Ambikanagar, Taluka Karjat, District Ahilyanagar (Ahmednagar), State Maharashtra by M/s. Shri Ambalika Sugar Private Limited.",MAHARASHTRA,SHRI AMBALIKA SUGAR PRIVATE LIMITED,Category: A Sector: Industrial Projects - 2 Date of Submission: 23/01/2026,MOEFCC,Proposal Accepted and Referred to EAC,"This is proposed expansion of the Sugar factory from 12000 TCD to 17000 TCD (Expansion by 5000 TCD), Expansion of Distillery Unit from 150 KLPD to 400 KLPD (Juice to Ethanol, Expansion by 250 KLPD) along with Expansion of Cogeneration Plant from 38 MW to 62.5 MW (Expansion by 24.5 MW).The proposed expansion project of the industry is an interlinked project."
237,SIA/MH/MIN/564792/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/271703/2026,"Transfer of Environmental Clearance of Patharwala Khu. Sandghat, Gut No. 1,2,3,4,60, Village – Patharwala Khu., Tal.-Gevrai, Dist. Beed from DMO, Beed to M/s Shree Bhagyalaxmi Building Material Suppliers (PP - Shri. Vasant Babanrao Kadam)",MAHARASHTRA,VASANT KADAM,Category: B2 Sector: Non-Coal Mining Date of Submission: 08/01/2026,SEIAA,EC Granted,"Application for Transfer of Environmental Clearance of Patharwala Khu. Sandghat, Gut No. 1,2,3,4,60, Village – Patharwala Khu., Tal.-Gevrai, Dist. Beed from DMO, Beed to M/s Shree Bhagyalaxmi Building Material Suppliers (PP - Shri. Vasant Babanrao Kadam)"
238,SIA/MH/INFRA2/565481/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/272254/2026","Proposed expansion in Residential & Commercial Development on land bearing S.No. 20/1, 20/2, 21/1, 21/2, 21/3, 21/4, 42/1 part, 42/2, 44/1/A, 44/2, 44/3, 44/20, 51/1, 51/2, 55, 56/1, 56/2 at Village Gharivali and S.No. 67/1 at village Sagaon, Taluka Kalyan, District Thane by M/s. Out N Out Infotech India LLP.",MAHARASHTRA,OUT N OUT INFOTECH INDIA LLP,Category: B1 Sector: INFRA-2 Date of Submission: 14/01/2026,SEIAA,Standard ToR Granted,"The project is an expansion in Residential and Commercial development. The project has received previous EC dated 18/08/2023 for a Total Construction area of 4,43,677.37 sq.m, and Total plot area of 66,794 sq.m. In the proposed expansion, the total plot area has increased to 81,322 sq.m. and the Total Construction area proposed is 5,21,693.69 sq.m."
239,SIA/MH/MIN/566700/2026,Clearance Type: Application for EC for Mining of Minor Minerals of Mine Lease (0-5 HA) - Form-2 S/W No.: SW/273313/2026,Environmental clearance for proposed river bed sand mining having leases area 2.0 Ha. Bandona sand ghat on Tipagadi river.,MAHARASHTRA,"DISTRICT MINING OFFICER, GADCHIROLI",Category: B2 Sector: Non-Coal Mining Date of Submission: 25/01/2026,SEIAA,Referred to SEIAA,Environmental clearance for proposed river bed sand mining having leases area 2.0 Ha. Bandona sand ghat on Tipagadi river.
240,SIA/MH/MIN/563931/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/270944/2026,"Transfer of Environmental Clearance of Agathan Sandghat from DMO, Aurangabad to M/s M/s Muley Brothers Construction & Restaurant (PP - Shri. Adinath Navnath Muley)",MAHARASHTRA,ADINATH NAVNATH MULEY,Category: B2 Sector: Non-Coal Mining Date of Submission: 02/01/2026,SEIAA,EC Granted,"Application for Transfer of Environmental Clearance of Agathan Sandghat, Gut No. Gavthan 120, Village – Agathan, Tal.- Gangapur, Dist. Chh. Sambhajinagar from DMO, Aurangabad to M/s M/s Muley Brothers Construction & Restaurant (PP - Shri. Adinath Navnath Muley)"
241,SIA/MH/MIN/564119/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/271106/2026,"Application for Transfer of Environmental Clearance Pilakwadi Sand Ghat Area 1.43 Ha, Gat No. 1 to 3,261,262,260, 266,263 of Village- Pilakwadi, Taluka- Akot, District- Akola, State- Maharashtra from DMO Akola to M/s. Galaxy Logistics through Mr. Wasimoddin Ikromoddin",MAHARASHTRA,WASIMODDIN IKROMODDIN,Category: B2 Sector: Non-Coal Mining Date of Submission: 03/01/2026,SEIAA,EC Granted,Transfer of Environmental Clearance Pilakwadi Sand Ghat
242,SIA/MH/IND3/566685/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/273303/2026","Proposed Manufacturing Unit of Pharma Intermediates & Synthetic Organic Hormone Chemicals located at Plot No. A 21, Indapur Industrial Area (MIDC) Village Loni, Taluka Indapur, District Pune, Maharashtra",MAHARASHTRA,Aviraj Chemical Private Limited,Category: B1 Sector: Industrial Projects - 3 Date of Submission: 27/01/2026,SEIAA,Standard ToR Granted,"M/s. Aviraj Chemical Pvt. Ltd. proposes a new project for Proposed Manufacturing Unit of “Pharma Intermediates & Synthetic Organic Hormone Chemicals” located at Plot No. A 21, Indapur Industrial Area (MIDC) Village Loni, Taluka Indapur, District Pune, Maharashtra by M/s. Aviraj Chemical Pvt. Ltd. land admeasuring 5000 sq.m. The proposed total production capacity will be 4050 Kg/M."
243,SIA/MH/INFRA2/566940/2026,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1 S/W No.: SW/267216/2025","Proposed Expansion of Existing Data center Park by Data Center Holdings India LLP. at Plot No. 5 & 5A, Kalwa Industrial Area, MIDC, Thane -Belapur Road, Airoli –Navi Mumbai, Dist. Thane 400708",MAHARASHTRA,DATA CENTER HOLDINGS INDIA LLP,Category: B1 Sector: INFRA-2 Date of Submission: 06/02/2026,SEIAA,Under Verification,The project is Expansion of Existing Data center [IT/ITes]
244,SIA/MH/INFRA2/567645/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/267015/2025",PROPOSED REDEVELOPMENT OF RESIDENTIAL COMPLEX WITH ALLIED AMENITIES AT HP NAGAR EAST HOUSING COMPLEX AT CHEMBUR,MAHARASHTRA,HINDUSTAN PETROLEUM CORPORATION LIMITED,Category: B2 Sector: INFRA-2 Date of Submission: 02/02/2026,SEIAA,Under Verification,Building Construction Project
245,SIA/MH/MIN/568020/2026,Clearance Type: Application for EC for Mining of Minor Minerals of Mine Lease (0-5 HA) - Form-2 S/W No.: SW/274568/2026,"Environmental Clearance for the Basalt stone Quarry of Shri. Shubham Vasantrao Dhure located at gut no. 344/1 part, Village Uttur, Taluka Ajara, District Kolhapur",MAHARASHTRA,dhure shubham vasantrav,Category: B2 Sector: Non-Coal Mining Date of Submission: 05/02/2026,SEIAA,Proposal Accepted and Referred to SEAC,"Environmental Clearance for the Basalt stone Quarry of Shri. Shubham Vasantrao Dhure located at gut no. 344/1 part, Village Uttur, Taluka Ajara, District Kolhapur"
246,SIA/MH/INFRA2/564236/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/271160/2026","Application of Terms of Reference (ToR) for Proposed Residential cum Commercial Development at S.No.46/2(pt), 46/3(pt), 51/12(pt), Village Vadavali, Kalyan, Tal. & Dist. Thane, Maharashtra by M/s. Vyoman India Pvt.Ltd.",MAHARASHTRA,Vyoman India Private Limited,Category: B1 Sector: INFRA-2 Date of Submission: 13/01/2026,SEIAA,Standard ToR Granted,"The development encompasses a residential-cum-commercial complex comprising ten buildings, a school, commercial spaces, a Multi-Level Car Parking (MLCP) facility, and a clubhouse structure at plot bearing S.No.46/2(pt), 46/3(pt), 51/12(pt), Village Vadavali, Kalyan, Tal. & Dist. Thane by M/s. Vyoman India Pvt. Ltd. The total constructional built-up area for the entire project is approximately 3,10,706.45 square meters."
247,SIA/MH/MIN/563835/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/270852/2026",Mr. Kailas Babanrao Ingale,MAHARASHTRA,Kailas Babanrao Ingale,Category: B2 Sector: Non-Coal Mining Date of Submission: 05/01/2026,SEIAA,Pending at MS SEIAA,Fresh EC
248,SIA/MH/INFRA2/563948/2026,Clearance Type: Application for Corrigendum Form-13 S/W No.: SW/242620/2025,"Application for EC Clearance for the proposed development of Residential Cum Commercial project Sub Divided Plot ’A’ Bearing C.T.S. No. 275/A Of Village Borivali, Situated At Jain Derasar Marg, Yogi Nagar At Borivali (W), Mumbai, Maharashtra by M/s. Konark Developers.",MAHARASHTRA,konark developers,Category: B2 Sector: INFRA-2 Date of Submission: 05/01/2026,SEIAA,Referred to SEIAA,Residential Cum Commercial project
249,SIA/MH/INFRA2/561584/2026,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1 S/W No.: SW/265730/2025","Proposed Expansion of Industrial Shed Construction at Plot No. A-5, MIDC Ranjangaon, Taluka. Shirur, District. Pune, Maharashtra. by M/s. LG Electronics India Ltd",MAHARASHTRA,lg ELECTRONICS INDIA LIMITED,Category: B1 Sector: INFRA-2 Date of Submission: 02/01/2026,SEIAA,Pending at MS SEIAA,Expansion in industrial shed
250,IA/MH/IND3/568095/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/274421/2026","Expansion Project for the Manufacturing of API and API Intermediate capacity from 108 TPA to 2400 TPA by M/S. NGL Fine Chem Limited, located at Plot No. W-41/C, W-42/C & E-10/1, MIDC Tarapur, Taluka & District Palghar, Maharashtra, India – 401506",MAHARASHTRA,NGL FINE CHEM LIMITED,Category: A Sector: Industrial Projects - 3 Date of Submission: 07/02/2026,MOEFCC,Under Examination,"Expansion Project for the Manufacturing of API and API Intermediate capacity from 108 TPA to 2400 TPA by M/S. NGL Fine Chem Limited, located at Plot No. W-41/C, W-42/C & E-10/1, MIDC Tarapur, Taluka & District Palghar, Maharashtra, India – 401506"
251,SIA/MH/MIN/565826/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/272538/2026,"Transfer of Environmental Clearance Dhutera 1 Sand Ghat over an extent of 3.36 ha. At Bawanthadi River Bed Adjoining Gut No. 63, 65, 62, 66, Village Dhutera, Tehsil Tumsar, District Bhandara, Maharashtra by M/s. Anoj kumar Agarwala",MAHARASHTRA,M/S ANOJ KUMAR AGARWALA,Category: B2 Sector: Non-Coal Mining Date of Submission: 16/01/2026,SEIAA,EC Granted,"Transfer of Environmental Clearance Dhutera 1 Sand Ghat over an extent of 3.36 ha. At Bawanthadi River Bed Adjoining Gut No. 63, 65, 62, 66, Village Dhutera, Tehsil Tumsar, District Bhandara, Maharashtra by M/s. Anoj kumar Agarwala"
252,SIA/MH/INFRA2/561669/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/268898/2025","Environment Clearance for proposed development of Gorai Shri Shiv Shankar CHSL bearing plot no-7, R.S.C – 3, MHADA layout at Gorai-III, Borivali (West), Mumbai by M/s. Shree Krishna Sai Development Corporation.",MAHARASHTRA,Shree krishna sai development corporation,Category: B2 Sector: INFRA-2 Date of Submission: 02/01/2026,SEIAA,Referred to SEIAA,Proposal project is a residential project located in Borivali West.
253,SIA/MH/MIN/564762/2026,Clearance Type: Application for EC for Mining of Minor Minerals of Mine Lease (0-5 HA) - Form-2 S/W No.: SW/271669/2026,"Stone Quarry Proposal of Mrs. Shanaj Bano Mo. Arif,Vill.-Borgaon Manju 4, Tq Akola, Dist Akola, Gut No. 41/2, Area-1.27 Ha",MAHARASHTRA,PROJECT PROPONENT,Category: B2 Sector: Non-Coal Mining Date of Submission: 10/01/2026,SEIAA,Pending at MS SEIAA,"Stone Quarry Proposal of Mrs. Shanaj Bano Mo. Arif,Vill.-Borgaon Manju 4, Tq Akola, Dist Akola, Gut No. 41/2, Area-1.27 Ha"
254,SIA/MH/INFRA2/566431/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/273065/2026","Proposed construction of New Medical College of 100 Students Capacity & 430 Bedded Hospital at Bramhangaon by The Dean of Government Medical College and Hospital, Parbhani",MAHARASHTRA,Government medical college parbhani,Category: B2 Sector: INFRA-2 Date of Submission: 22/01/2026,SEIAA,Under Verification,Building & Construction Project- Hospital & Medical College
255,SIA/MH/INFRA2/564595/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/271493/2026","Proposed S.R. Scheme U/REG, 33/11 of DCPR- 2034 on Plot Bearing CTS. No: 1/139 & 1/140 of Village: Oshiwara, Taluka: Andheri (W), Situated at 2nd Cross Lane, Andheri (West), Mumbai in K/W Ward Dist. Mumbai, Maharashtra, by M/s D.G.S Land Developers (India) Pvt. Ltd.",MAHARASHTRA,D.G.S. LAND DEVELOPERS (INDIA) PRIVATE LIMITED,Category: B2 Sector: INFRA-2 Date of Submission: 12/01/2026,SEIAA,Referred to SEAC,"Proposed S.R. Scheme U/REG, 33/11 of DCPR- 2034 on Plot Bearing CTS. No: 1/139 & 1/140 of Village: Oshiwara, Taluka: Andheri (W), Situated at 2nd Cross Lane, Andheri (West), Mumbai in K/W Ward Dist. Mumbai, Maharashtra, by M/s D.G.S Land Developers (India) Pvt. Ltd."
256,SIA/MH/MIN/564847/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/271741/2026,"Transfer of EC of Salebardi Sand Ghat over an extent of 1.5 ha at Chulbandh River Bed Adjoining Gut No. 122 , 123,124,125, Village Salebardi, Tehsil Sakoli, District Bhandara, Qty-5300 Brass,in name of M/s A B Carriers Dynamics Private Limited , Director Mr. Sachin V. Agrawal",MAHARASHTRA,A B CARRIERS DYNAMICS PRIVATE LIMITED,Category: B2 Sector: Non-Coal Mining Date of Submission: 10/01/2026,SEIAA,EC Granted,"Transfer of EC of Salebardi Sand Ghat over an extent of 1.5 ha at Chulbandh River Bed Adjoining Gut No. 122 , 123,124,125, Village Salebardi, Tehsil Sakoli, District Bhandara, Qty-5300 Brass,in name of M/s A B Carriers Dynamics Private Limited , Director Mr. Sachin V. Agrawal"
257,SIA/MH/INFRA2/567192/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/273728/2026","Proposed Redevelopment of Residential and Commercial Project at C.T.S. No.1556, 1557, 1559B & 1571 of village Shahad, Taluka Kalyan, Thane 421103 by M/s. Gurudatta Developers",MAHARASHTRA,GURUDUTT DEVELOPERS,Category: B2 Sector: INFRA-2 Date of Submission: 02/02/2026,SEIAA,Under Verification,"Proposed Redevelopment of Residential and Commercial Project at C.T.S. No.1556, 1557, 1559B & 1571 of village Shahad, Taluka Kalyan, Thane 421103 by M/s. Gurudatta Developers"
258,SIA/MH/INFRA2/566648/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/273242/2026","Proposed Development under Regulation 33(5) of MCGM DCPR 2034 of Gorai Bhag 3, MHADA Labharthi Kalyankari CHSL, (Old allotted Cluster No. 284 to 296) at RSC-1, 4 & 5, C.T.S. No. 13(pt.) & 14(pt.) MHADA Layout Gorai - III, Ward R/C Borivali (West), Mumbai by M/s. Avni Infrastructure C.A. to Owner.",MAHARASHTRA,AVNI INFRASTRUCTURE,Category: B1 Sector: INFRA-2 Date of Submission: 24/01/2026,SEIAA,Standard ToR Granted,The proposed project is a Residential cum commercial development.
259,SIA/MH/IND3/566348/2026,Clearance Type: Application for Corrigendum Form-13 S/W No.: SW/128899/2023,"Elkay Chemicals Pvt. Ltd. at Plot F-5 MIDC, Lote Parshuram Industrial area, Village-Lote Taluka Khed, District Ratanagiri 415722",MAHARASHTRA,ELKAY CHEMICALS PRIVATE LIMITED,Category: B1 Sector: Industrial Projects - 3 Date of Submission: 29/01/2026,SEIAA,Under Verification,It is manufacturing unit of Silicone Monomer in Lote Parshuram MIDC
260,SIA/MH/INFRA2/566196/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/272866/2026,"Proposed Residential & Commercial Project at Plot G- S. No. 595/2 , C.T.S. 3293 , Munjeri , Pune",MAHARASHTRA,SERIANEE CORRP LLP,Category: B2 Sector: INFRA-2 Date of Submission: 20/01/2026,SEIAA,Referred to SEAC,"Proposed Residential & Commercial Project at Plot G- S. No. 595/2 , C.T.S. 3293 , Munjeri , Pune"
